,base_word,guide_word,level,none,category,details,link
185,argument,DISAGREEMENT,B1,noun,communication,Details,/british-english/words/detail/307
186,agreement,DECISION,B2,noun,communication,Details,/british-english/words/detail/143
187,argument,REASON,B2,noun,communication,Details,/british-english/words/detail/307
188,agreement,SAME OPINION,B2,noun,communication,Details,/british-english/words/detail/143
189,arrangement,AGREEMENT,B2,noun,communication,Details,/british-english/words/detail/317
190,achievement,,B1,noun,people: actions,Details,/british-english/words/detail/57
191,adjustment,,B2,noun,people: actions,Details,/british-english/words/detail/89
192,assessment,,B2,noun,people: actions,Details,/british-english/words/detail/346
193,amazement,,B2,noun,people: personality,Details,/british-english/words/detail/199
194,amusement,FEELING,B2,noun,people: personality,Details,/british-english/words/detail/217
195,astonishment,,B2,noun,people: personality,Details,/british-english/words/detail/361
196,attachment,COMPUTING,B2,noun,technology,Details,/british-english/words/detail/371
197,appointment,JOB,C2,noun,work,Details,/british-english/words/detail/288
198,blindness,NOT SEEING,C1,noun,body and health,Details,/british-english/words/detail/567
199,carelessness,,B2,noun,people: personality,Details,/british-english/words/detail/789
200,cheerfulness,,C2,noun,people: personality,Details,/british-english/words/detail/887
201,coldness,CHARACTER,C2,noun,people: personality,Details,/british-english/words/detail/1000
202,collector,,B2,noun,people: actions,Details,/british-english/words/detail/1008
203,ancestor,,B2,noun,relationships,Details,/british-english/words/detail/226
204,championship,,B1,noun,shopping,Details,/british-english/words/detail/853
205,bravery,,B2,noun,people: personality,Details,/british-english/words/detail/637
206,addiction,,B2,noun,body and health,Details,/british-english/words/detail/78
207,abortion,,C1,noun,body and health,Details,/british-english/words/detail/9
208,animal,NOT A HUMAN,A1,noun,animals,Details,/british-english/words/detail/235
209,bird,,A1,noun,animals,Details,/british-english/words/detail/547
210,cat,,A1,noun,animals,Details,/british-english/words/detail/809
211,baby,ANIMAL,A2,noun,animals,Details,/british-english/words/detail/411
212,bear,,A2,noun,animals,Details,/british-english/words/detail/485
213,chicken,BIRD,A2,noun,animals,Details,/british-english/words/detail/901
214,ant,,B1,noun,animals,Details,/british-english/words/detail/251
215,bat,ANIMAL,B1,noun,animals,Details,/british-english/words/detail/474
216,bee,,B1,noun,animals,Details,/british-english/words/detail/496
217,bug,INSECT,B1,noun,animals,Details,/british-english/words/detail/685
218,bull,,B1,noun,animals,Details,/british-english/words/detail/692
219,butterfly,,B1,noun,animals,Details,/british-english/words/detail/723
220,cage,,B1,noun,animals,Details,/british-english/words/detail/736
221,calf,ANIMAL,B1,noun,animals,Details,/british-english/words/detail/742
222,camel,,B1,noun,animals,Details,/british-english/words/detail/746
223,breed,,B2,noun,animals,Details,/british-english/words/detail/649
224,cell,ORGANISM,B2,noun,animals,Details,/british-english/words/detail/830
225,collar,ON AN ANIMAL,B2,noun,animals,Details,/british-english/words/detail/1004
226,beak,,C1,noun,animals,Details,/british-english/words/detail/482
227,bark,DOG,B2,verb,animals,Details,/british-english/words/detail/460
228,breed,KEEP ANIMALS,B2,verb,animals,Details,/british-english/words/detail/649
229,book,FOR READING,A1,noun,arts and media,Details,/british-english/words/detail/596
230,camera,,A1,noun,arts and media,Details,/british-english/words/detail/747
231,album,MUSIC,A2,noun,arts and media,Details,/british-english/words/detail/158
232,cartoon,FILM,A2,noun,arts and media,Details,/british-english/words/detail/798
233,cartoon,DRAWING,A2,noun,arts and media,Details,/british-english/words/detail/798
234,channel,TV,A2,noun,arts and media,Details,/british-english/words/detail/858
235,clown,,A2,noun,arts and media,Details,/british-english/words/detail/976
236,act,THEATRE,B1,noun,arts and media,Details,/british-english/words/detail/64
237,ad,,B1,noun,arts and media,Details,/british-english/words/detail/72
238,advert,,B1,noun,arts and media,Details,/british-english/words/detail/110
239,article,NEWSPAPER,B1,noun,arts and media,Details,/british-english/words/detail/324
240,biography,,B1,noun,arts and media,Details,/british-english/words/detail/544
241,chapter,,B1,noun,arts and media,Details,/british-english/words/detail/862
242,character,IN A STORY,B1,noun,arts and media,Details,/british-english/words/detail/863
243,chat show,,B1,noun,arts and media,Details,/british-english/words/detail/874
244,circus,,B1,noun,arts and media,Details,/british-english/words/detail/928
245,beat,MUSIC,B2,noun,arts and media,Details,/british-english/words/detail/487
246,cello,,B2,noun,arts and media,Details,/british-english/words/detail/832
247,column,PRINTING,B2,noun,arts and media,Details,/british-english/words/detail/1014
248,bow,MUSIC,C2,noun,arts and media,Details,/british-english/words/detail/620
249,art,"PAINTINGS/DRAWINGS, ETC.",A2,noun,arts and media,Details,/british-english/words/detail/323
250,cable,TELEVISION/TELEPHONE,B1,noun,arts and media,Details,/british-english/words/detail/734
251,cinema,ART,C1,noun,arts and media,Details,/british-english/words/detail/922
252,brass,MUSIC,C2,noun,arts and media,Details,/british-english/words/detail/634
253,ballet,,B1,noun,arts and media,Details,/british-english/words/detail/441
254,background,PICTURE,B2,noun,arts and media,Details,/british-english/words/detail/416
255,accompany,MUSIC,C2,verb,arts and media,Details,/british-english/words/detail/39
256,act,PERFORM,B1,verb,arts and media,Details,/british-english/words/detail/64
257,advertise,TRY TO SELL,B1,verb,arts and media,Details,/british-english/words/detail/111
258,broadcast,,B2,verb,arts and media,Details,/british-english/words/detail/666
259,arm,BODY,A1,noun,body and health,Details,/british-english/words/detail/310
260,body,PERSON,A1,noun,body and health,Details,/british-english/words/detail/584
261,accident,BAD EVENT,A2,noun,body and health,Details,/british-english/words/detail/34
262,back,BODY,A2,noun,body and health,Details,/british-english/words/detail/414
263,brain,IN HEAD,A2,noun,body and health,Details,/british-english/words/detail/629
264,cold,ILLNESS,A2,noun,body and health,Details,/british-english/words/detail/999
265,ache,,B1,noun,body and health,Details,/british-english/words/detail/55
266,ankle,,B1,noun,body and health,Details,/british-english/words/detail/238
267,body,NOT ARMS/LEGS,B1,noun,body and health,Details,/british-english/words/detail/584
268,bottom,BODY PART,B1,noun,body and health,Details,/british-english/words/detail/616
269,breast,,B1,noun,body and health,Details,/british-english/words/detail/645
